week,rank,title_name,platform_name,developer_name,title_id,platform_id,developer_id,title_url,platform_url,developer_url,genre,weekly_sales,total_sales,week_num
42771,3,Hitman (2016),XOne,Square Enix,84908,68,1567,http://www.vgchartz.com/game/84908/hitman-2016/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1567/square-enix/,Action,"53,537","53,537",1
42771,4,Yoshi's Woolly World,3DS,Nintendo,132796,42,1167,http://www.vgchartz.com/game/132796/yoshis-woolly-world/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Platform,"50,667","50,667",1
42771,5,Digimon World: Next Order,PS4,Namco Bandai Games,136958,69,16527,http://www.vgchartz.com/game/136958/digimon-world-next-order/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/16527/namco-bandai-games/,Action,"48,589","48,589",1
42771,6,Resident Evil VII: Biohazard,XOne,Capcom,120128,68,270,http://www.vgchartz.com/game/120128/resident-evil-vii-biohazard/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/270/capcom/,Action,"39,572","172,511",2
42771,7,Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,Square Enix,85993,69,1567,http://www.vgchartz.com/game/85993/kingdom-hearts-hd-28-final-chapter-prologue/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1567/square-enix/,Role-Playing,"36,480","235,242",2
42771,8,Madden NFL 17,PS4,Electronic Arts,86434,69,474,http://www.vgchartz.com/game/86434/madden-nfl-17/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/474/electronic-arts/,Sports,"26,828","1,855,214",24
42771,9,Pokemon Sun/Moon,3DS,Nintendo,91783,42,1167,http://www.vgchartz.com/game/91783/pokemon-sunmoon/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Role-Playing,"23,198","4,555,890",12
42771,10,Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,77189,69,1535,http://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1535/sony-computer-entertainment/,Shooter,"22,210","3,418,044",39
42771,11,Tales of Berseria,PS4,Namco Bandai Games,86343,69,16527,http://www.vgchartz.com/game/86343/tales-of-berseria/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/16527/namco-bandai-games/,Role-Playing,"19,800","85,901",2
42771,12,NBA 2K17,PS4,Take-Two Interactive,103818,69,1631,http://www.vgchartz.com/game/103818/nba-2k17/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Sports,"19,095","1,675,336",21
42771,13,Madden NFL 17,XOne,Electronic Arts,86432,68,474,http://www.vgchartz.com/game/86432/madden-nfl-17/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/474/electronic-arts/,Sports,"18,967","1,726,132",24
42771,14,ABZU,PS4,505 Games,83062,69,23,http://www.vgchartz.com/game/83062/abzu/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/23/505-games/,Adventure,"18,535","18,535",1
42771,15,NBA 2K17,XOne,Take-Two Interactive,103819,68,1631,http://www.vgchartz.com/game/103819/nba-2k17/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Sports,"17,531","1,195,305",21
42771,16,Call of Duty: Infinite Warfare,PS4,Activision,108777,69,47,http://www.vgchartz.com/game/108777/call-of-duty-infinite-warfare/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/47/activision/,Shooter,"16,846","2,278,345",14
42771,17,Call of Duty: Infinite Warfare,XOne,Activision,108778,68,47,http://www.vgchartz.com/game/108778/call-of-duty-infinite-warfare/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/47/activision/,Shooter,"14,962","2,327,191",14
42771,18,Watch Dogs 2,PS4,Ubisoft,86722,69,1750,http://www.vgchartz.com/game/86722/watch-dogs-2/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1750/ubisoft/,Action,"13,810","684,263",12
42771,19,Battlefield 1,XOne,Electronic Arts,110844,68,474,http://www.vgchartz.com/game/110844/battlefield-1/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/474/electronic-arts/,Shooter,"12,656","2,618,388",16
42771,20,ABZU,XOne,505 Games,144805,68,23,http://www.vgchartz.com/game/144805/abzu/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/23/505-games/,Adventure,"11,477","11,477",1
42771,21,Yakuza 0,PS4,Sega,84444,69,1452,http://www.vgchartz.com/game/84444/yakuza-zero-the-place-of-oath/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1452/sega/,Action,"11,382","64,739",2
42771,22,Grand Theft Auto V,PS4,Take-Two Interactive,83196,69,1631,http://www.vgchartz.com/game/83196/grand-theft-auto-v/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Action,"11,300","4,051,838",116
42771,23,PlayStation VR Worlds,PS4,Sony Computer Entertainment,124387,69,1535,http://www.vgchartz.com/game/124387/playstation-vr-worlds/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1535/sony-computer-entertainment/,Misc,"10,638","156,947",17
42771,24,Battlefield 1,PS4,Electronic Arts,110843,69,474,http://www.vgchartz.com/game/110843/battlefield-1/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/474/electronic-arts/,Shooter,"10,513","1,692,158",16
42771,25,FIFA 17,PS4,Electronic Arts,117272,69,474,http://www.vgchartz.com/game/117272/fifa-17/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/474/electronic-arts/,Sports,"9,430","1,011,476",19
42771,26,Watch Dogs 2,XOne,Ubisoft,86723,68,1750,http://www.vgchartz.com/game/86723/watch-dogs-2/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1750/ubisoft/,Action,"9,179","465,236",12
42771,27,Grand Theft Auto V,XOne,Take-Two Interactive,73074,68,1631,http://www.vgchartz.com/game/73074/grand-theft-auto-v/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1631/take-two-interactive/,Action,"8,869","2,873,268",116
42771,28,Rainbow Six: Siege,XOne,Ubisoft,82932,68,1750,http://www.vgchartz.com/game/82932/tom-clancys-rainbow-six-siege/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/1750/ubisoft/,Shooter,"6,018","832,961",62
42771,29,Doom,PS4,Bethesda Softworks,83086,69,192,http://www.vgchartz.com/game/83086/doom-2016/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/192/bethesda-softworks/,Shooter,"5,876","652,518",39
42771,30,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,XOne,Namco Bandai Games,154979,68,16527,http://www.vgchartz.com/game/154979/naruto-shippuden-ultimate-ninja-storm-4-road-to-boruto/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/16527/namco-bandai-games/,Fighting,"5,720","5,720",1
42771,31,Final Fantasy XV,PS4,Square Enix,73124,69,1567,http://www.vgchartz.com/game/73124/final-fantasy-xv/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1567/square-enix/,Role-Playing,Pro,N/A,10
42771,32,Fallout 4,XOne,Bethesda Softworks,85598,68,192,http://www.vgchartz.com/game/85598/fallout-4/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/192/bethesda-softworks/,Role-Playing,Pro,N/A,65
42771,33,FIFA 17,XOne,Electronic Arts,117271,68,474,http://www.vgchartz.com/game/117271/fifa-17/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/474/electronic-arts/,Sports,Pro,N/A,19
42771,34,Fallout 4,PS4,Bethesda Softworks,85599,69,192,http://www.vgchartz.com/game/85599/fallout-4/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/192/bethesda-softworks/,Role-Playing,Pro,N/A,65
42771,35,The Last of Us Remastered,PS4,Sony Computer Entertainment America,80977,69,13891,http://www.vgchartz.com/game/80977/the-last-of-us/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/13891/sony-computer-entertainment-america/,Action,Pro,N/A,132
42771,36,Forza Horizon 3,XOne,Microsoft Game Studios,119955,68,10313,http://www.vgchartz.com/game/119955/forza-horizon-3/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/10313/microsoft-game-studios/,Racing,Pro,N/A,19
42771,37,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,85628,69,1535,http://www.vgchartz.com/game/85628/uncharted-the-nathan-drake-collection/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1535/sony-computer-entertainment/,Action,Pro,N/A,70
42771,38,Minecraft: Xbox One Edition,XOne,Microsoft Game Studios,73065,68,10313,http://www.vgchartz.com/game/73065/minecraft/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/10313/microsoft-game-studios/,Misc,Pro,N/A,116
42771,39,Until Dawn: Rush of Blood,PS4,Sony Computer Entertainment,86441,69,1535,http://www.vgchartz.com/game/86441/until-dawn-rush-of-blood/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1535/sony-computer-entertainment/,Adventure,Pro,N/A,17
